C_rate	numtel	express	maxQ	Ave_Q	Ave_serv	Ave_wait	upset_cust	tot_cust	tot_busy	tot_idle

20	5	true	352	174.78352439349507	203.23204419889504	3840.3588850174215	346	362	14714.0	190.8	
20	5	true	341	163.4820441068692	202.7123287671233	3612.662162162162	340	365	14798.0	82.2	
20	5	true	339	171.3840202747766	199.51351351351352	3804.292517006803	354	370	14764.0	81.4	
20	5	true	352	167.17392173855077	203.14606741573033	3585.8537414965986	338	356	14464.0	387.4	
20	5	true	381	192.39482804585444	215.2046783625731	4147.14652014652	326	342	14720.0	208.8	
20	5	true	376	179.84798827604584	208.1267605633803	3901.4117647058824	336	355	14777.0	105.8	
20	5	true	342	169.17239541699973	202.92011019283746	3720.9298245614036	337	363	14732.0	166.4	
20	5	true	345	168.4625741518363	197.06117021276594	3536.695081967213	349	376	14819.0	63.8	
20	5	true	359	177.57958558198413	205.76704545454547	3889.6632996632998	337	352	14486.0	441.4	
20	5	true	358	178.31891783834212	207.52808988764045	3864.9895104895104	326	356	14776.0	105.0	
20	6	true	300	142.74501699886673	206.70533642691416	3023.061111111111	406	431	14848.333333333334	97.16666666666667	
20	6	true	255	122.68379657401853	194.77827050997783	2624.299741602067	411	451	14640.833333333334	120.5	
20	6	true	269	137.28732338043187	196.62971175166297	2956.529411764706	420	451	14780.0	152.83333333333334	
20	6	true	276	141.5897418795438	203.15668202764977	3032.9867021276596	417	434	14695.0	192.0	
20	6	true	298	139.57895087649138	210.77014218009478	3009.689655172414	396	422	14824.166666666666	87.33333333333333	
20	6	true	269	134.5471647765177	194.14847161572052	2861.6233766233768	422	458	14820.0	117.5	
20	6	true	283	135.70813365282214	205.9375	2906.937853107345	391	432	14827.5	62.166666666666664	
20	6	true	328	158.8882372542486	205.1270207852194	3147.0440771349863	398	433	14803.333333333334	69.0	
20	6	true	314	159.62688458972647	213.31719128329297	3478.6107954545455	384	413	14683.333333333334	131.66666666666666	
20	7	true	182	84.13749750548793	198.8030888030888	1801.3476297968398	476	518	14711.42857142857	169.42857142857142	
20	7	true	189	88.48592158690009	202.80392156862746	1900.834090909091	437	510	14775.714285714286	105.14285714285714	
20	7	true	226	113.8371209596801	206.45418326693226	2465.3348729792147	461	502	14805.714285714286	78.42857142857143	
20	7	true	210	100.21115112711752	204.32806324110672	2138.0549199084667	446	506	14770.0	95.71428571428571	
20	7	true	225	106.49376791308406	207.01807228915663	2196.4988399071926	443	498	14727.857142857143	129.71428571428572	
20	7	true	244	123.86793080505656	209.69387755102042	2618.7943925233644	449	490	14678.57142857143	231.0	
20	7	true	251	125.66864497199253	210.1954732510288	2605.2359813084113	462	486	14593.57142857143	157.28571428571428	
20	7	true	197	87.48700995124558	203.0276134122288	1876.6475972540045	444	507	14705.0	186.0	
20	7	true	200	108.03016581207964	203.0990099009901	2413.497716894977	475	505	14652.142857142857	239.57142857142858	
20	8	true	149	77.13492063492063	209.51154529307283	1700.0	488	563	14744.375	104.125	
20	8	true	172	83.5359690646043	211.22082585278275	1749.7310061601643	496	557	14706.25	168.875	
20	8	true	129	59.826568019729386	202.56944444444446	1289.2344689378758	477	576	14585.0	271.375	
20	8	true	163	84.19930722088995	209.36832740213524	1816.3415132924335	496	562	14708.125	155.125	
20	8	true	119	55.79371958130542	200.45144804088585	1200.884765625	457	587	14708.125	213.875	
20	8	true	135	68.64221407135712	201.91176470588235	1469.656976744186	511	578	14588.125	300.875	
20	8	true	175	87.34797387363369	204.59649122807016	1798.191699604743	511	570	14577.5	308.5	
20	8	true	139	60.30582588988135	198.39830508474577	1227.0268199233717	453	590	14631.875	226.5	
20	8	true	136	65.786094832179	209.41071428571428	1445.018	438	560	14658.75	247.625	
20	8	true	146	72.86943481738203	204.701230228471	1537.1479289940828	497	569	14559.375	242.75	
20	8	true	170	78.11193284029582	202.79690189328744	1602.321153846154	523	581	14728.125	135.875	
25	5	true	227	104.78218151540383	203.75690607734808	2636.592060810811	331	362	14752.0	209.25	
25	5	true	225	109.4518654230513	205.51532033426184	2810.4008620689656	336	359	14756.0	151.25	
25	5	true	228	103.3721085039108	206.27808988764045	2645.699823943662	323	356	14687.0	171.75	
25	5	true	188	92.21233847436432	206.66666666666666	2727.3973214285716	328	351	14508.0	341.75	
25	5	true	201	99.79538448721154	201.3550135501355	2621.982020547945	343	369	14860.0	61.25	
25	5	true	221	107.7294235254915	207.6338028169014	2917.852787456446	330	355	14742.0	80.0	
25	5	true	230	113.2616371055042	203.28729281767957	2929.896907216495	340	362	14718.0	90.25	
25	5	true	200	92.7759753764246	203.7087912087912	2531.0	331	364	14830.0	62.5	
25	5	true	213	97.32314483218123	200.5858310626703	2460.7291666666665	327	367	14723.0	207.5	
25	6	true	134	71.68949124270225	198.42696629213484	1972.771164021164	422	445	14716.666666666666	122.70833333333333	
25	6	true	133	65.01268675402721	199.44191343963553	1743.6463903743315	395	439	14592.5	309.1666666666667	
25	6	true	144	65.78827551701134	201.06407322654462	1719.066852367688	380	437	14644.166666666666	157.70833333333334	
25	6	true	164	80.7406728847435	212.03389830508473	2146.883903133903	382	413	14595.0	250.0	
25	6	true	130	66.82619206402134	197.74553571428572	1786.7520215633424	413	448	14765.0	155.41666666666666	
25	6	true	167	91.822618254497	216.20437956204378	2574.903846153846	388	411	14810.0	146.45833333333334	
25	6	true	147	76.63525785220362	212.0	2101.187865497076	361	415	14663.333333333334	147.08333333333334	
25	6	true	143	72.75249916694435	206.8909512761021	1936.0571625344353	385	431	14861.666666666666	60.416666666666664	
